year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM;pltb;MT;ZR;NF;RH;HB
y17;bre;b5;296;RGS177;D37QUA27;D37QUA27;76,27;8;8;62,7;76,5;36,56;796;3;4;1;1;6
y17;bre;b2;120;RGS178;D37QUA28;MER;82,925;NA;NA;NA;NA;NA;620;3;6;1;1;8
y17;bre;b1;15;RGS179;D37QUA29;D37QUA29;78,15166667;1;2;67,5;92,3;47,28;515;4;7;1;1;6
y17;bre;b1;37;RGS180;D37QUA30;D37QUA30;69,02666667;7;7;67,6;78,6;42,19;537;4;5;1;1;6
y17;bre;b3;126;RGS181;D37QUA31;D37QUA31;82,65833333;1;3;65,5;77,6;41,67;626;5;3;1;1;7
y17;bre;b1;25;RGS182;D37QUA32;D37QUA32;81,39833333;1;2;67,1;91;44,52;525;4;6;1;1;4
y17;bre;b1;51;RGS183;D37QUA33;D37QUA33;78,95166667;1;1;68,0;85;43,10;551;6;6;1;1;5
y17;bre;b5;274;RGS184;D37QUA34;D37QUA34;84,39166667;1;4;65,9;78,5;42,01;774;4;6;1;1;8
y17;bre;b2;66;RGS185;D37QUA35;D37QUA35;65,145;1;1;66,9;96,3;48,17;566;5;7;1;1;7
y17;bre;b5;260;RGS186;D37QUA36;D37QUA36;75,81666667;1;5;67,1;77,1;41,71;760;7;7;1;1;8
y17;bre;b1;13;RGS187;D37QUA37;MER;87,74333333;NA;NA;NA;NA;NA;513;6;6;1;1;7
y17;bre;b1;4;RGS188;D37OTT01;D37OTT01;75,63666667;1;5;62,9;51,2;36,29;504;4;8;1;1;8
y17;bre;b5;262;RGS189;D37OTT02;D37OTT02;78,81333333;1;5;64,6;90,8;40,35;762;5;7;1;1;8
y17;bre;b2;73;RGS190;D37OTT03;D37OTT03;74,90333333;3;5;66,9;86,8;43,14;573;5;4;1;1;5
y17;bre;b2;110;RGS191;D37OTT04;D37OTT04;73,63833333;1;2;65,4;90,2;43,71;610;5;4;1;1;6
y17;bre;b1;33;RGS192;D37OTT05;D37OTT05;71,97333333;1;6;67,4;84,8;40,06;533;5;4;1;1;7
y17;bre;b1;43;RGS193;D37OTT06;MER;85,88566667;NA;NA;NA;NA;NA;543;6;5;1;1;8
y17;bre;b1;18;RGS194;D37OTT07;D37OTT07;79,06;1;7;63,2;76,7;35,97;518;7;4;1;1;8
y17;bre;b5;250;RGS195;D37OTT08;MER;86,71866667;NA;NA;NA;NA;NA;750;4;6;1;1;8
y17;bre;b4;192;RGS196;D37OTT09;D37OTT09;81,58;1;5;66,0;75,9;41,02;692;6;4;1;1;8
y17;bre;b1;45;RGS197;D37OTT10;D37OTT10;77,325;1;2;65,1;87,4;43,94;545;6;4;1;1;6
y17;bre;b5;277;RGS198;D37OTT11;MER;85,71666667;NA;NA;NA;NA;NA;777;6;5;1;1;7
y17;bre;b4;188;RGS199;D37OTT12;D37OTT12;66,28666667;1;2;65,6;85,6;42,11;688;7;7;1;1;9
y17;bre;b1;48;RGS200;D37OTT13;D37OTT13;73,52;1;3;65,9;95,4;44,68;548;5;4;1;1;8
y17;bre;b3;165;RGS201;ANTMER01;ANTMER01;83,55333333;1;2;64,2;84,5;39,48;665;4;4;1;1;6
y17;bre;b5;285;RGS202;ANTMER02;ANTMER02;87,05;1;1;64,2;87,2;40,13;785;5;4;1;1;7
y17;bre;b5;259;RGS203;ANTMER03;ANTMER03;79,43166667;1;1;67,0;95,2;42,93;759;2;6;1;1;7
y17;bre;b3;176;RGS204;ANTMER04;ANTMER04;82,63333333;1;2;64,7;93,7;41,94;676;3;3;1;1;7
y17;bre;b4;222;RGS205;ANTMER05;ANTMER05;80,46833333;1;1;64,5;80,7;38,04;722;3;5;1;1;6
y17;bre;b2;104;RGS206;ANTMER06;ANTMER06;84,43666667;2;1;63,5;94;44,74;604;4;2;1;1;6
y17;bre;b4;200;RGS207;ANTMER07;ANTMER07;85,05166667;1;2;64,0;92,2;43,98;700;4;6;1;1;9
y17;bre;b2;74;RGS208;ANTMER08;ANTMER08;73,4;1;1;64,0;90,5;42,68;574;2;3;1;1;5
y17;bre;b4;205;RGS209;ANTMER09;ANTMER09;84,85166667;1;2;64,8;90,5;43,23;705;6;5;1;1;9
y17;bre;b5;258;RGS210;ANTMER10;ANTMER10;87,96166667;1;2;62,2;88,4;43,16;758;3;4;1;1;7
y17;bre;b5;254;RGS211;ANTMER11;ANTMER11;82,08333333;1;2;62,1;89,3;44,93;754;4;5;1;1;7
y17;bre;b5;242;RGS212;ANTMER12;ANTMER12;84,09166667;1;2;64,9;94,4;45,45;742;2;4;1;1;6
y17;bre;b5;271;RGS213;ANTMER13;ANTMER13;85,68666667;1;1;63,9;86,5;40,48;771;2;3;1;1;6
y17;bre;b3;129;RGS214;ANTMER14;ANTMER14;85,61166667;1;1;65,5;89,8;41,16;629;4;2;1;1;3
y17;bre;b2;63;RGS215;ANTMER15;ANTMER15;81,48833333;1;1;66,2;96,3;43,39;563;4;3;1;1;7
y17;bre;b2;67;RGS216;ANTMER16;ANTMER16;81,78666667;1;1;64,9;94,5;43,33;567;2;3;1;1;6
y17;bre;b4;237;RGS217;ANTQUA01;ANTQUA01;82,51666667;1;2;64,1;90;43,97;737;3;3;1;1;6
y17;bre;b1;32;RGS218;ANTQUA02;ANTQUA02;81,497;1;1;66,4;91,3;44,74;532;4;7;1;1;5
y17;bre;b2;98;RGS219;ANTQUA03;ANTQUA03;88,39;1;1;64,5;88;46,18;598;4;4;1;1;6
y17;bre;b5;286;RGS220;ANTQUA04;ANTQUA04;87,35833333;1;1;64,5;90;44,96;786;2;3;4;1;6
y17;bre;b5;252;RGS221;ANTQUA05;ANTQUA05;84,08;1;2;63,8;93,3;46,10;752;3;3;1;1;7
y17;bre;b4;204;RGS222;ANTQUA06;ANTQUA06;84,90333333;1;4;66,6;84,1;41,94;704;2;3;3;1;7
y17;bre;b5;272;RGS223;ANTQUA07;ANTQUA07;92,17666667;1;2;66,0;89,4;44,67;772;2;5;1;1;6
