year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;ack;r1;b2;108;RGS253;D33;D33;68,59600163
y17;ack;r1;b3;244;RGS253;D33;D33;57,84251326
y17;ack;r1;b4;320;RGS253;D33;D33;71,76727866
y17;ack;r1;b5;456;RGS253;D33;D33;60,32982456
y17;ack;r1;b1;53;RGS254;D37;D37;77,01685027
y17;ack;r1;b2;141;RGS254;D37;D37;70,59033048
y17;ack;r1;b3;229;RGS254;D37;D37;73,26848225
y17;ack;r1;b4;305;RGS254;D37;D37;59,11187271
y17;ack;r1;b5;417;RGS254;D37;D37;72,13084455
y17;ack;r1;b1;20;RGS255;OTT;OTT;110,2769686
y17;ack;r1;b2;132;RGS255;OTT;OTT;120,621787
y17;ack;r1;b3;256;RGS255;OTT;OTT;106,4186047
y17;ack;r1;b4;344;RGS255;OTT;OTT;120,7395349
y17;ack;r1;b5;408;RGS255;OTT;OTT;111,3713586
y17;ack;r1;b1;5;RGS256;ANT;ANT;110,8053856
y17;ack;r1;b2;153;RGS256;ANT;ANT;104,7450836
y17;ack;r1;b3;217;RGS256;ANT;ANT;111,3537332
y17;ack;r1;b4;329;RGS256;ANT;ANT;95,79290086
y17;ack;r1;b5;441;RGS256;ANT;ANT;98,91742146
y17;ack;r1;b1;44;RGS257;MER;MER;96,31170951
y17;ack;r1;b2;120;RGS257;MER;MER;96,07637699
y17;ack;r1;b3;208;RGS257;MER;MER;89,94451244
y17;ack;r1;b4;356;RGS257;MER;MER;110,9866585
y17;ack;r1;b5;432;RGS257;MER;MER;91,92068543
y17;ack;r1;b1;29;RGS258;ETI;ETI;103,6853733
y17;ack;r1;b2;105;RGS258;ETI;ETI;106,4570379
y17;ack;r1;b3;241;RGS258;ETI;ETI;113,5034068
y17;ack;r1;b4;317;RGS258;ETI;ETI;111,0526316
y17;ack;r1;b5;453;RGS258;ETI;ETI;97,79069767
y17;ack;r1;b1;56;RGS259;JEN;JEN;105,2147083
y17;ack;r1;b2;144;RGS259;JEN;JEN;105,348266
y17;ack;r1;b3;232;RGS259;JEN;JEN;113,1756018
y17;ack;r1;b4;308;RGS259;JEN;JEN;121,3129131
y17;ack;r1;b5;420;RGS259;JEN;JEN;101,498776
y17;ack;r1;b1;17;RGS260;QUA;QUA;109,0722154
y17;ack;r1;b2;129;RGS260;QUA;QUA;128,0327417
y17;ack;r1;b3;253;RGS260;QUA;QUA;116,8894737
y17;ack;r1;b4;341;RGS260;QUA;QUA;116,8013056
y17;ack;r1;b5;405;RGS260;QUA;QUA;99,88245614
